"Accession"	"log2FC"
"Sarnp"	-0.382871034189815
"Zbtb18"	-0.406709657086269
"Pcnp"	-0.695253842687727
"Cfdp1"	-0.482327063586558
"Ppp4r2"	-0.263658267696893
"Slc35f1"	0.354727735280408
"Ilkap"	-0.272728388613571
"Fahd1"	-0.534596872436884
"H2ax"	-0.483854152119152
"Lrrtm3"	0.412958253021836
"Gna14"	-1.22597458462319
"Hmga1"	-0.305761752426127
"Slc23a2"	0.447027105177495
"Rbm3"	-0.392690792433266
"Cbx5"	-0.41236850936178
"Hmgn2"	-1.09978497007452
"Cdc73"	-0.326147989347454
"Pcif1"	-0.269402669357454
"Ctnnbl1"	-0.311455084092
"Slc4a2"	0.416785407365111
"Flrt1"	0.309961900363129
"Cd47"	-0.334979138465446
"Brinp3"	0.525187790611883
"Irf2bp2"	-0.353626140918216
"Eif4ebp2"	-0.337096970954885
"Mtnd1"	0.313354771919899
"Dkk3"	-0.354934409976197
"Smndc1"	-0.283692268008256
"Tpbg"	0.305787791136629
"Grcc10"	-0.664383435870949
"Rpl14"	-0.379930933769984
"Ciao3"	-0.426746755042837
"Slc13a5"	0.26777960055041
"Pianp"	0.308227144781958
"Rgs20"	0.273642247897484
"Gtf2f2"	-0.344346535891926
"Olfm2"	0.612519457045787
"Irs1"	0.27995059054431
"Rrp1"	-0.383244316086476
"Nelfe"	-0.300227371586672
NA	-0.33925852813914
"Aff4"	-0.390042116717995
"Edf1"	-0.411814457450966
"Magohb"	-0.289979232668291
"Rbm8a"	-0.414665382128355
"Ncbp3"	-0.304249642377391
"Foxk2"	-0.277895700449417
"Gfer"	-0.305317179840854
"Rimoc1"	0.277855814793753
"Thyn1"	-0.45274370958696
"Asic1"	0.502833314545855
"Copz1"	-0.463676737025184
"Nab2"	-0.300078410598436
"Ppig"	-0.271740734480076
"Fbxo31"	0.458852152369506
"Hmgn3"	-1.54844959278409
"Swi5"	-0.282495682879064
"Iws1"	-0.270196632834704
"Rps21"	-0.310793493714398
"Btrc"	-0.430492778878317
"Nup50"	-0.342830700237046
"Nptx2"	0.28752683824869
"Dbndd1"	0.26919168873756
"Trmt6"	-0.307648876595938
"Ociad2"	-0.302255765043213
"Stk38"	0.274237372587846
"Hrh1"	0.329524328962638
"Hmga1"	-0.647365432428732
"Epb41"	-0.276390189338004
"Sfr1"	-0.267895959908497
"Rps20"	-0.459904430305954
"Ttr"	0.888018435192572
"Gsg1l"	0.447243652105589
"Cdk9"	-0.397700090478425
"Slirp"	-0.451238027919237
"Umad1"	0.406355415056944
"Creld2"	-0.287772626856556
"Rgs10"	-0.34003721291614
"Hpf1"	-0.286830185167339
"Ube2e2"	-0.314860610567022
"Cbarp"	0.370903832979826
"Ly6h"	-1.14675750684034
"Ints12"	-0.313902507324951
"Prcc"	-0.414704724828248
"Gm2a"	-0.446360563428648
"Pak1ip1"	-0.338477823468709
"Slc6a8"	0.306722089105792
"Lsm11"	-0.32852027004643
"Cwc15"	-0.325207690518667
"Myadm"	-0.294788355202005
"Gtf2e2"	-0.276880809489324
"Exosc9"	-0.285942237339151
"Hsd17b7"	-0.397879780671451
"Arntl"	0.354719558534402
"Susd5"	0.542580816029897
"Vstm2a"	-0.271937765096627
"Sec24d"	-0.701889697272657
"Snu13"	-0.363569088915103
"Fam107b"	-0.30654330279159
"Rps28"	-0.363790609260249
"Zcchc17"	-0.51336426466831
"Pdgfra"	0.394419898419859
"Ptn"	-0.946041084484007
"Dohh"	0.411588658116186
"Nsrp1"	-0.272301666738327
"Nlk"	0.316238943971284
"Cnih4"	0.3099217152748
"Sdk1"	-1.03220737020002
"Gulp1"	0.350716844736116
"Pcbd1"	0.283691715744876
"Gfra1"	-0.559156452386414
"Nup58"	-0.30447459945092
"Ube2e3"	-0.421423085332576
"Dynlt3"	-0.698639426101412
"Fam193a"	-0.315392293215456
"Spta1"	0.887058422529012
"Lsm4"	-0.331521284037002
"Trir"	-0.438442074003353
"Bola3"	0.373425963925641
"Rpl29"	-0.493665450669058
"Rundc1"	0.410768832905424
"Fam189a1"	0.378970210074842
"Rtkn"	-0.272124052257454
"Itga3"	-0.273754544669675
"Zdhhc6"	-0.405465859155687
"Gm13889"	-0.424488917017408
"Prox1"	-0.318998795172098
"Pnisr"	-0.324739426142914
"Trim56"	0.275766560980411
"Ttc8"	0.340265916990669
"Ramac"	-0.298367949067787
"Lsm7"	-0.338475769739878
"Lsm6"	-0.28121791300557
"Grik4"	-0.303515116947526
"Nop14"	-0.265324329736199
"Tspan5"	-0.322448890202427
"F13a1"	-0.31044251076114
"Rerg"	-0.654807865328326
"Esf1"	-0.343347245504416
"Erh"	-0.301438628496804
"Smyd3"	0.289554984274377
"Lhfpl4"	0.302334804896033
"Rybp"	-0.586574322498115
"Nabp2"	-0.382607879123372
"Cacng7"	-0.320068316918428
"Npc2"	-0.331067138335841
"Nectin3"	0.277963754100798
"Atp5mpl"	0.311186602935107
"Septin1"	0.301481472165717
"Clasrp"	-0.305768259987776
"Brat1"	0.272093758081237
"Tmsb4x"	-0.516038669187312
"Mgst1"	-0.541601824527062
"Igfbp5"	-0.73769574981578
"Atp5f1e"	-0.266959600541927
"Tmeff2"	-0.292004629624978
"Bcl9l"	-0.297354873391194
"Zmym5"	0.437085379599734
"Eif1ad10"	-0.747950623984951
"Mrc1"	0.420018502550505
"Gpalpp1"	-0.302749440976868
"Sod3"	-0.307671763327843
"Zmiz1"	-0.303698377995923
"Uhmk1"	0.297906481555707
"Rpl38"	-0.404591926089189
"Eif1ad11"	-0.747950623984951
"Gtf2h1"	-0.291811756931496
"Morf4l2"	-0.576840858351825
